Sample Id	LCK, Putative copy-number alterations from GISTIC	LCK, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-3012-03	Diploid	74.4879		
TCGA-AB-3011-03	Diploid	219.6970		
TCGA-AB-3009-03	Diploid	199.8192		
TCGA-AB-3008-03	Diploid	157.0360		
TCGA-AB-3007-03	Diploid	281.6000		
TCGA-AB-3006-03	Diploid	128.3668		
TCGA-AB-3005-03	Diploid	213.3260		
TCGA-AB-3002-03	Diploid	163.1609		
TCGA-AB-3001-03	Diploid	481.9048		
TCGA-AB-3000-03	Diploid	55.9541		
TCGA-AB-2999-03	Diploid	590.9045		
TCGA-AB-2998-03	Diploid	33.7406		
TCGA-AB-2996-03	Diploid	239.9441		
TCGA-AB-2995-03	Diploid	892.2962		
TCGA-AB-2994-03	Diploid	416.7451		
TCGA-AB-2993-03	Diploid	18.3721		
TCGA-AB-2992-03	Diploid	337.4761		
TCGA-AB-2991-03	Diploid	251.3089		
TCGA-AB-2990-03	Diploid	305.7076		
TCGA-AB-2988-03	Diploid	58.8679		
TCGA-AB-2987-03	Diploid	1162.2642		
TCGA-AB-2986-03	Diploid	155.2083		
TCGA-AB-2985-03	Diploid	474.5900		
TCGA-AB-2984-03	Diploid	48.0519		
TCGA-AB-2983-03	Diploid	229.6608		
TCGA-AB-2982-03	Diploid	666.2031		
TCGA-AB-2980-03	Diploid	255.7940		
TCGA-AB-2978-03	Diploid	331.3518		
TCGA-AB-2977-03	Diploid	683.4493		
TCGA-AB-2976-03	Diploid	92.2947		
TCGA-AB-2975-03	Diploid	125.4054		
TCGA-AB-2973-03	Diploid	444.9402		
TCGA-AB-2972-03	Diploid	411.7117		
TCGA-AB-2971-03	Diploid	476.4016		
TCGA-AB-2970-03	Diploid	125.9660		
TCGA-AB-2969-03	Diploid	39.6947		
TCGA-AB-2967-03	Diploid	64.9652		
TCGA-AB-2966-03	Diploid	357.8890		
TCGA-AB-2965-03	Diploid	52.2420		
TCGA-AB-2964-03	Diploid	163.0989		
TCGA-AB-2963-03	Diploid	29.0293		
TCGA-AB-2959-03	Diploid	353.3127		
TCGA-AB-2956-03	Diploid	162.6276		
