Sample Id	SRC, Putative copy-number alterations from GISTIC	SRC, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-3012-03	Diploid	246.7412		
TCGA-AB-3011-03	Diploid	91.9913		
TCGA-AB-3009-03	Diploid	605.7866		
TCGA-AB-3008-03	Diploid	91.7743		
TCGA-AB-3007-03	Diploid	45.6000		
TCGA-AB-3006-03	Diploid	77.1729		
TCGA-AB-3005-03	Diploid	154.6124		
TCGA-AB-3002-03	Diploid	740.4994		
TCGA-AB-3001-03	Diploid	217.1429		
TCGA-AB-3000-03	Diploid	124.8207		
TCGA-AB-2999-03	Diploid	42.3260		
TCGA-AB-2998-03	Diploid	198.6946		
TCGA-AB-2996-03	Diploid	146.7699		
TCGA-AB-2995-03	Diploid	979.8055		
TCGA-AB-2994-03	Diploid	795.8608		
TCGA-AB-2993-03	Diploid	263.6390		
TCGA-AB-2992-03	Diploid	392.9254		
TCGA-AB-2991-03	Diploid	95.7367		
TCGA-AB-2990-03	Diploid	55.5121		
TCGA-AB-2988-03	Diploid	481.5094		
TCGA-AB-2987-03	Diploid	866.9811		
TCGA-AB-2986-03	Diploid	279.1667		
TCGA-AB-2985-03	Diploid	814.7398		
TCGA-AB-2984-03	Diploid	94.8052		
TCGA-AB-2983-03	Diploid	417.6458		
TCGA-AB-2982-03	Diploid	50.0695		
TCGA-AB-2980-03	Diploid	54.9356		
TCGA-AB-2978-03	Diploid	575.0733		
TCGA-AB-2977-03	Diploid	1276.5884		
TCGA-AB-2976-03	Diploid	342.9297		
TCGA-AB-2975-03	Diploid	24.8649		
TCGA-AB-2973-03	Diploid	669.8822		
TCGA-AB-2972-03	Diploid	53.1532		
TCGA-AB-2971-03	Diploid	413.8668		
TCGA-AB-2970-03	Diploid	506.1824		
TCGA-AB-2969-03	Diploid	353.4351		
TCGA-AB-2967-03	Diploid	491.8794		
TCGA-AB-2966-03	Diploid	35.7889		
TCGA-AB-2965-03	Diploid	237.0982		
TCGA-AB-2964-03	Diploid	32.6198		
TCGA-AB-2963-03	Diploid	160.2661		
TCGA-AB-2959-03	Diploid	606.6108		
TCGA-AB-2956-03	Diploid	280.6122		
TCGA-AB-2955-03	Diploid	64.3275		
TCGA-AB-2954-03	Diploid	490.7856		
TCGA-AB-2952-03	Diploid	579.5614		
TCGA-AB-2950-03	Diploid	18.6916		
TCGA-AB-2949-03	Diploid	660.0920		
TCGA-AB-2948-03	Diploid	158.1509		
TCGA-AB-2946-03	Diploid	129.8697		
TCGA-AB-2943-03	Diploid	267.7763		
TCGA-AB-2942-03	Diploid	600.3633		
TCGA-AB-2941-03	Diploid	157.1438		
TCGA-AB-2940-03	Diploid	164.2251		
TCGA-AB-2939-03	Diploid	602.4177		
TCGA-AB-2938-03	Shallow Deletion	523.0716		
TCGA-AB-2937-03	Diploid	317.1521		
TCGA-AB-2936-03	Diploid	691.3756		
TCGA-AB-2935-03	Diploid	408.5074		
TCGA-AB-2934-03	Diploid	1016.1455		
TCGA-AB-2933-03	Diploid	630.5080		
TCGA-AB-2932-03	Diploid	569.6864		
TCGA-AB-2931-03	Diploid	1404.7049		
TCGA-AB-2930-03	Diploid	245.5574		
TCGA-AB-2929-03	Diploid	920.4785		
TCGA-AB-2928-03	Diploid	923.7549		
TCGA-AB-2927-03	Diploid	1030.6383		
TCGA-AB-2925-03	Diploid	242.0917		
TCGA-AB-2924-03	Diploid	296.2725		
TCGA-AB-2921-03	Diploid	349.6169		
TCGA-AB-2920-03	Diploid	256.3729		
TCGA-AB-2919-03	Diploid	182.0480		
TCGA-AB-2917-03	Diploid	189.8621		
TCGA-AB-2916-03	Diploid	1207.6583		
TCGA-AB-2915-03	Deep Deletion	497.9253		
TCGA-AB-2914-03	Diploid	300.5291		
TCGA-AB-2913-03	Diploid	224.9213		
TCGA-AB-2912-03	Diploid	138.7712		
TCGA-AB-2911-03	Diploid	866.5880		
TCGA-AB-2910-03	Diploid	927.1371		
TCGA-AB-2909-03	Diploid	345.8040		
TCGA-AB-2908-03	Diploid	545.9502		
TCGA-AB-2904-03	Diploid	269.0802		
TCGA-AB-2903-03	Diploid	345.0292		
TCGA-AB-2901-03	Diploid	395.5390		
TCGA-AB-2900-03	Diploid	102.6776		
TCGA-AB-2899-03	Diploid	1253.9388		
TCGA-AB-2898-03	Diploid	524.1706		
TCGA-AB-2897-03	Diploid	23.6753		
TCGA-AB-2896-03	Diploid	540.2844		
TCGA-AB-2895-03	Diploid	857.6481		
TCGA-AB-2890-03	Diploid	1186.4096		
TCGA-AB-2889-03	Diploid	604.5780		
TCGA-AB-2888-03	Diploid	441.3085		
TCGA-AB-2887-03	Diploid	804.9717		
TCGA-AB-2886-03	Diploid	52.3542		
TCGA-AB-2885-03	Diploid	1524.3171		
TCGA-AB-2884-03	Diploid	367.9775		
TCGA-AB-2882-03	Diploid	916.8414		
TCGA-AB-2881-03	Diploid	848.9108		
TCGA-AB-2880-03	Diploid	405.0325		
TCGA-AB-2879-03	Diploid	457.3025		
TCGA-AB-2877-03	Diploid	36.7925		
TCGA-AB-2875-03	Diploid	57.9310		
