Sample Id	FGR, Putative copy-number alterations from GISTIC	FGR, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-3012-03	Diploid	30.7263		
TCGA-AB-3011-03	Diploid	324.6753		
TCGA-AB-3009-03	Diploid	770.3436		
TCGA-AB-3008-03	Diploid	214.1400		
TCGA-AB-3007-03	Diploid	115.2000		
TCGA-AB-3006-03	Diploid	135.2436		
TCGA-AB-3005-03	Diploid	4271.4133		
TCGA-AB-3002-03	Diploid	1370.9376		
TCGA-AB-3001-03	Diploid	582.8571		
TCGA-AB-3000-03	Diploid	1279.0531		
TCGA-AB-2999-03	Diploid	128.6379		
TCGA-AB-2998-03	Diploid	42.7381		
TCGA-AB-2996-03	Diploid	3026.0991		
TCGA-AB-2995-03	Diploid	569.1847		
TCGA-AB-2994-03	Diploid	705.5503		
TCGA-AB-2993-03	Diploid	610.8707		
TCGA-AB-2992-03	Diploid	9038.2409		
TCGA-AB-2991-03	Diploid	120.6682		
TCGA-AB-2990-03	Diploid	1024.2377		
TCGA-AB-2988-03	Diploid	951.6981		
TCGA-AB-2987-03	Diploid	8111.3208		
TCGA-AB-2986-03	Diploid	987.5000		
TCGA-AB-2985-03	Diploid	12948.3701		
TCGA-AB-2984-03	Diploid	40.2597		
TCGA-AB-2983-03	Diploid	873.4205		
TCGA-AB-2982-03	Diploid	178.0250		
TCGA-AB-2980-03	Diploid	19.7425		
TCGA-AB-2978-03	Diploid	3747.1047		
TCGA-AB-2977-03	Diploid	9810.9034		
TCGA-AB-2976-03	Diploid	1174.4285		
TCGA-AB-2975-03	Diploid	1130.8108		
TCGA-AB-2973-03	Diploid	14877.0698		
TCGA-AB-2972-03	Diploid	258.5586		
TCGA-AB-2971-03	Diploid	4310.3546		
TCGA-AB-2970-03	Diploid	2091.9629		
TCGA-AB-2969-03	Diploid	8068.7023		
TCGA-AB-2967-03	Diploid	5704.1763		
TCGA-AB-2966-03	Diploid	104.4649		
TCGA-AB-2965-03	Diploid	3210.0690		
TCGA-AB-2964-03	Diploid	259.9388		
TCGA-AB-2963-03	Diploid	2841.2458		
TCGA-AB-2959-03	Diploid	462.0243		
TCGA-AB-2956-03	Diploid	7413.9031		
TCGA-AB-2955-03	Diploid	402.0468		
TCGA-AB-2954-03	Diploid	4861.2997		
TCGA-AB-2952-03	Gain	11005.7045		
TCGA-AB-2950-03	Diploid	154.9844		
TCGA-AB-2949-03	Diploid	1171.5976		
TCGA-AB-2948-03	Diploid	14739.6594		
TCGA-AB-2946-03	Diploid	2795.3233		
TCGA-AB-2943-03	Gain	1553.5065		
TCGA-AB-2942-03	Diploid	2643.9600		
TCGA-AB-2941-03	Diploid	1478.0722		
TCGA-AB-2940-03	Diploid	2312.2591		
TCGA-AB-2939-03	Diploid	1388.8516		
TCGA-AB-2938-03	Diploid	800.2786		
TCGA-AB-2937-03	Diploid	203.8835		
TCGA-AB-2936-03	Diploid	930.1497		
TCGA-AB-2935-03	Diploid	4089.6724		
TCGA-AB-2934-03	Diploid	11393.9827		
TCGA-AB-2933-03	Diploid	6061.4745		
TCGA-AB-2932-03	Diploid	11740.4181		
TCGA-AB-2931-03	Diploid	809.1280		
TCGA-AB-2930-03	Diploid	1971.4593		
TCGA-AB-2929-03	Diploid	1484.8698		
TCGA-AB-2928-03	Diploid	317.5608		
TCGA-AB-2927-03	Diploid	2713.1915		
TCGA-AB-2925-03	Diploid	6001.9367		
TCGA-AB-2924-03	Diploid	6977.5064		
TCGA-AB-2921-03	Diploid	3670.4981		
TCGA-AB-2920-03	Diploid	1605.9723		
TCGA-AB-2919-03	Diploid	202.2756		
TCGA-AB-2917-03	Diploid	1908.0203		
TCGA-AB-2916-03	Diploid	8063.6230		
TCGA-AB-2915-03	Diploid	5437.4919		
TCGA-AB-2914-03	Diploid	1588.3598		
TCGA-AB-2913-03	Diploid	364.1583		
TCGA-AB-2912-03	Diploid	2538.1356		
TCGA-AB-2911-03	Diploid	7684.7698		
TCGA-AB-2910-03	Diploid	3795.7544		
TCGA-AB-2909-03	Diploid	159.9094		
TCGA-AB-2908-03	Diploid	1537.3832		
TCGA-AB-2904-03	Gain	194.7162		
TCGA-AB-2903-03	Diploid	250.4873		
TCGA-AB-2901-03	Diploid	1090.7063		
TCGA-AB-2900-03	Diploid	9087.8513		
TCGA-AB-2899-03	Diploid	3797.9611		
TCGA-AB-2898-03	Diploid	4581.0427		
TCGA-AB-2897-03	Diploid	365.2762		
TCGA-AB-2896-03	Diploid	1413.9021		
TCGA-AB-2895-03	Diploid	709.1070		
TCGA-AB-2890-03	Diploid	4303.9486		
TCGA-AB-2889-03	Diploid	2609.8410		
TCGA-AB-2888-03	Diploid	11723.5407		
TCGA-AB-2887-03	Diploid	328.2764		
TCGA-AB-2886-03	Diploid	169.9813		
TCGA-AB-2885-03	Shallow Deletion	315.3453		
TCGA-AB-2884-03	Diploid	6800.5618		
TCGA-AB-2882-03	Diploid	2591.1950		
TCGA-AB-2881-03	Diploid	3600.1405		
TCGA-AB-2880-03	Diploid	2625.0000		
TCGA-AB-2879-03	Diploid	316.8396		
TCGA-AB-2877-03	Diploid	309.4340		
TCGA-AB-2875-03	Diploid	788.2759		
TCGA-AB-2874-03	Diploid	1270.2604		
TCGA-AB-2873-03	Diploid	14477.9712		
TCGA-AB-2872-03	Diploid	2252.1994		
TCGA-AB-2871-03	Diploid	1117.6198		
TCGA-AB-2870-03	Diploid	4004.9540		
TCGA-AB-2869-03	Diploid	794.0467		
TCGA-AB-2868-03	Diploid	2089.4515		
TCGA-AB-2867-03	Diploid	2239.9588		
TCGA-AB-2866-03	Diploid	10547.8395		
