Sample Id	FYN, Putative copy-number alterations from GISTIC	FYN, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-3012-03	Diploid	975.7914		
TCGA-AB-3011-03	Diploid	968.6147		
TCGA-AB-3009-03	Diploid	869.8011		
TCGA-AB-3008-03	Diploid	616.5874		
TCGA-AB-3007-03	Diploid	1025.6000		
TCGA-AB-3006-03	Diploid	165.0430		
TCGA-AB-3005-03	Diploid	545.0578		
TCGA-AB-3002-03	Diploid	1160.4697		
TCGA-AB-3001-03	Diploid	1169.5238		
TCGA-AB-3000-03	Diploid	657.1019		
TCGA-AB-2999-03	Diploid	1252.3523		
TCGA-AB-2998-03	Diploid	641.8211		
TCGA-AB-2996-03	Diploid	894.6369		
TCGA-AB-2995-03	Diploid	1439.0426		
TCGA-AB-2994-03	Diploid	1007.5259		
TCGA-AB-2993-03	Diploid	537.3825		
TCGA-AB-2992-03	Diploid	1592.7342		
TCGA-AB-2991-03	Diploid	1119.9202		
TCGA-AB-2990-03	Diploid	1198.5927		
TCGA-AB-2988-03	Diploid	236.2264		
TCGA-AB-2987-03	Diploid	3084.9057		
TCGA-AB-2986-03	Diploid	394.7917		
TCGA-AB-2985-03	Diploid	1312.8164		
TCGA-AB-2984-03	Diploid	1550.6494		
TCGA-AB-2983-03	Diploid	876.9674		
TCGA-AB-2982-03	Diploid	1376.9124		
TCGA-AB-2980-03	Diploid	1003.4335		
TCGA-AB-2978-03	Diploid	884.5175		
TCGA-AB-2977-03	Diploid	2041.1639		
TCGA-AB-2976-03	Diploid	290.4318		
TCGA-AB-2975-03	Diploid	238.9189		
TCGA-AB-2973-03	Diploid	1203.8104		
TCGA-AB-2972-03	Diploid	539.6396		
TCGA-AB-2971-03	Diploid	1320.0532		
TCGA-AB-2970-03	Diploid	1128.2844		
TCGA-AB-2969-03	Diploid	1360.3053		
TCGA-AB-2967-03	Diploid	796.9838		
TCGA-AB-2966-03	Diploid	1111.3905		
TCGA-AB-2965-03	Diploid	850.3388		
TCGA-AB-2964-03	Diploid	733.9450		
TCGA-AB-2963-03	Diploid	319.9274		
TCGA-AB-2959-03	Diploid	780.5493		
TCGA-AB-2956-03	Diploid	348.8520		
TCGA-AB-2955-03	Diploid	760.2339		
TCGA-AB-2954-03	Diploid	526.6731		
TCGA-AB-2952-03	Diploid	1909.5719		
TCGA-AB-2950-03	Diploid	345.7944		
TCGA-AB-2949-03	Diploid	830.3748		
TCGA-AB-2948-03	Diploid	1525.5474		
TCGA-AB-2946-03	Diploid	961.8690		
TCGA-AB-2943-03	Diploid	1198.2655		
TCGA-AB-2942-03	Diploid	881.9255		
TCGA-AB-2941-03	Diploid	471.4314		
TCGA-AB-2940-03	Diploid	1151.8890		
TCGA-AB-2939-03	Diploid	1261.9208		
TCGA-AB-2938-03	Diploid	1828.3127		
TCGA-AB-2937-03	Diploid	290.1834		
