Sample Id	HCK, Putative copy-number alterations from GISTIC	HCK, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-3012-03	Diploid	334.2644		
TCGA-AB-3011-03	Diploid	284.6320		
TCGA-AB-3009-03	Diploid	6.3291		
TCGA-AB-3008-03	Diploid	668.2529		
TCGA-AB-3007-03	Diploid	268.8000		
TCGA-AB-3006-03	Diploid	261.3181		
TCGA-AB-3005-03	Diploid	2053.0184		
TCGA-AB-3002-03	Diploid	851.5260		
TCGA-AB-3001-03	Diploid	609.5238		
TCGA-AB-3000-03	Diploid	2076.7575		
TCGA-AB-2999-03	Diploid	258.1057		
TCGA-AB-2998-03	Diploid	1527.3243		
TCGA-AB-2996-03	Diploid	1774.4319		
TCGA-AB-2995-03	Diploid	124.9065		
TCGA-AB-2994-03	Diploid	1515.5221		
TCGA-AB-2993-03	Diploid	362.8480		
TCGA-AB-2992-03	Diploid	4078.3939		
TCGA-AB-2991-03	Diploid	515.5821		
TCGA-AB-2990-03	Diploid	437.0602		
TCGA-AB-2988-03	Diploid	1187.1698		
TCGA-AB-2987-03	Diploid	8949.0566		
TCGA-AB-2986-03	Diploid	755.2083		
TCGA-AB-2985-03	Diploid	5577.6473		
TCGA-AB-2984-03	Diploid	12.9870		
TCGA-AB-2983-03	Diploid	562.1813		
TCGA-AB-2982-03	Diploid	271.2100		
TCGA-AB-2980-03	Diploid	233.4764		
TCGA-AB-2978-03	Diploid	835.2255		
TCGA-AB-2977-03	Diploid	4337.9515		
TCGA-AB-2976-03	Diploid	965.2837		
TCGA-AB-2975-03	Diploid	1196.7568		
TCGA-AB-2973-03	Diploid	7502.1861		
TCGA-AB-2972-03	Diploid	42.3423		
TCGA-AB-2971-03	Diploid	2239.8836		
TCGA-AB-2970-03	Diploid	1084.2349		
TCGA-AB-2969-03	Diploid	4668.7023		
TCGA-AB-2967-03	Diploid	3019.7216		
TCGA-AB-2966-03	Diploid	363.6926		
TCGA-AB-2965-03	Diploid	1995.6438		
TCGA-AB-2964-03	Diploid	93.7819		
TCGA-AB-2963-03	Diploid	1890.5352		
TCGA-AB-2959-03	Diploid	664.2279		
TCGA-AB-2956-03	Diploid	2677.9337		
TCGA-AB-2955-03	Diploid	1106.7251		
TCGA-AB-2954-03	Diploid	2142.5800		
TCGA-AB-2952-03	Diploid	3748.2717		
TCGA-AB-2950-03	Diploid	626.9470		
TCGA-AB-2949-03	Diploid	967.7844		
TCGA-AB-2948-03	Diploid	2885.6448		
TCGA-AB-2946-03	Diploid	2216.1184		
TCGA-AB-2943-03	Diploid	503.2581		
TCGA-AB-2942-03	Diploid	848.3197		
TCGA-AB-2941-03	Diploid	424.7485		
TCGA-AB-2940-03	Diploid	1844.2560		
TCGA-AB-2939-03	Diploid	2631.9678		
TCGA-AB-2938-03	Diploid	486.8536		
TCGA-AB-2937-03	Diploid	1046.3862		
TCGA-AB-2936-03	Diploid	906.6287		
TCGA-AB-2935-03	Diploid	2235.6773		
TCGA-AB-2934-03	Diploid	4760.3979		
TCGA-AB-2933-03	Diploid	1980.5730		
TCGA-AB-2932-03	Diploid	6747.9675		
TCGA-AB-2931-03	Diploid	431.6101		
TCGA-AB-2930-03	Diploid	1060.3123		
TCGA-AB-2929-03	Diploid	1089.3737		
TCGA-AB-2928-03	Diploid	549.6245		
TCGA-AB-2927-03	Diploid	1016.1702		
TCGA-AB-2925-03	Diploid	3119.4319		
TCGA-AB-2924-03	Diploid	2879.8201		
TCGA-AB-2921-03	Diploid	2235.1533		
TCGA-AB-2920-03	Diploid	378.7327		
TCGA-AB-2919-03	Diploid	60.0506		
TCGA-AB-2917-03	Diploid	632.5604		
TCGA-AB-2916-03	Diploid	5119.2931		
TCGA-AB-2915-03	Diploid	3131.3970		
TCGA-AB-2914-03	Diploid	792.5926		
TCGA-AB-2913-03	Diploid	233.4897		
TCGA-AB-2912-03	Diploid	1146.1864		
TCGA-AB-2911-03	Diploid	2651.7119		
TCGA-AB-2910-03	Diploid	2043.6030		
TCGA-AB-2909-03	Diploid	442.4160		
TCGA-AB-2908-03	Diploid	664.3302		
TCGA-AB-2904-03	Gain	433.4638		
TCGA-AB-2903-03	Diploid	118.9084		
TCGA-AB-2901-03	Diploid	1043.1227		
TCGA-AB-2900-03	Diploid	2581.9872		
