Sample Id	LYN, Putative copy-number alterations from GISTIC	LYN, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-3012-03	Diploid	2003.7244		
TCGA-AB-3011-03	Diploid	1610.3896		
TCGA-AB-3009-03	Diploid	2238.6980		
TCGA-AB-3008-03	Diploid	4913.6642		
TCGA-AB-3007-03	Gain	579.2000		
TCGA-AB-3006-03	Diploid	2024.0688		
TCGA-AB-3005-03	Diploid	2835.8662		
TCGA-AB-3002-03	Diploid	2630.8485		
TCGA-AB-3001-03	Diploid	2960.9524		
TCGA-AB-3000-03	Diploid	3133.4290		
TCGA-AB-2999-03	Diploid	997.5663		
TCGA-AB-2998-03	Diploid	1815.9938		
TCGA-AB-2996-03	Diploid	3693.9847		
TCGA-AB-2995-03	Diploid	3046.3725		
TCGA-AB-2994-03	Diploid	2625.5880		
TCGA-AB-2993-03	Diploid	2313.9600		
TCGA-AB-2992-03	Diploid	4265.7744		
TCGA-AB-2991-03	Diploid	1701.3214		
TCGA-AB-2990-03	Diploid	1563.7217		
TCGA-AB-2988-03	Diploid	3667.1698		
TCGA-AB-2987-03	Diploid	14257.5472		
TCGA-AB-2986-03	Diploid	3078.1250		
TCGA-AB-2985-03	Diploid	5649.7267		
TCGA-AB-2984-03	Diploid	1354.5455		
TCGA-AB-2983-03	Diploid	3217.0250		
TCGA-AB-2982-03	Diploid	1230.8762		
TCGA-AB-2980-03	Diploid	1017.1674		
TCGA-AB-2978-03	Diploid	4319.4395		
TCGA-AB-2977-03	Diploid	4470.3555		
TCGA-AB-2976-03	Diploid	3081.2870		
TCGA-AB-2975-03	Diploid	3085.4054		
TCGA-AB-2973-03	Diploid	11396.6487		
TCGA-AB-2972-03	Diploid	1778.3784		
TCGA-AB-2971-03	Diploid	4768.5643		
TCGA-AB-2970-03	Diploid	4510.8192		
TCGA-AB-2969-03	Diploid	7206.8702		
TCGA-AB-2967-03	Diploid	5151.9722		
TCGA-AB-2966-03	Diploid	4518.1073		
TCGA-AB-2965-03	Diploid	5575.4254		
TCGA-AB-2964-03	Diploid	1772.6809		
TCGA-AB-2963-03	Diploid	4727.5476		
TCGA-AB-2959-03	Diploid	2530.8062		
TCGA-AB-2956-03	Diploid	3257.0153		
TCGA-AB-2955-03	Diploid	3640.3509		
TCGA-AB-2954-03	Diploid	5682.8322		
TCGA-AB-2952-03	Gain	4139.0616		
TCGA-AB-2950-03	Diploid	3543.6137		
TCGA-AB-2949-03	Gain	3487.1795		
TCGA-AB-2948-03	Diploid	5947.0803		
TCGA-AB-2946-03	Diploid	3856.5044		
TCGA-AB-2943-03	Diploid	3283.9607		
TCGA-AB-2942-03	Diploid	4575.8401		
TCGA-AB-2941-03	Diploid	3488.7238		
TCGA-AB-2940-03	Diploid	3427.1396		
TCGA-AB-2939-03	Diploid	1676.2928		
TCGA-AB-2938-03	Diploid	3053.4564		
TCGA-AB-2937-03	Diploid	5495.1456		
TCGA-AB-2936-03	Diploid	2345.6878		
TCGA-AB-2935-03	Gain	4290.4771		
TCGA-AB-2934-03	Diploid	5128.8125		
TCGA-AB-2933-03	Diploid	5793.3039		
TCGA-AB-2932-03	Diploid	6717.7700		
TCGA-AB-2931-03	Diploid	4503.7329		
TCGA-AB-2930-03	Diploid	2531.5024		
TCGA-AB-2929-03	Diploid	6382.8290		
TCGA-AB-2928-03	Diploid	4219.5734		
TCGA-AB-2927-03	Diploid	3688.5106		
TCGA-AB-2925-03	Diploid	4115.5584		
TCGA-AB-2924-03	Diploid	5559.7686		
TCGA-AB-2921-03	Diploid	3768.1992		
TCGA-AB-2920-03	Gain	4269.4829		
TCGA-AB-2919-03	Diploid	1482.9330		
TCGA-AB-2917-03	Diploid	4628.1240		
TCGA-AB-2916-03	Diploid	9103.9764		
TCGA-AB-2915-03	Diploid	4833.5639		
TCGA-AB-2914-03	Diploid	5494.1799		
TCGA-AB-2913-03	Gain	2952.8951		
TCGA-AB-2912-03	Gain	7297.6695		
TCGA-AB-2911-03	Diploid	4742.6210		
TCGA-AB-2910-03	Diploid	3425.1291		
TCGA-AB-2909-03	Diploid	5677.4494		
TCGA-AB-2908-03	Diploid	2726.6355		
TCGA-AB-2904-03	Gain	4010.7632		
TCGA-AB-2903-03	Diploid	2029.2398		
TCGA-AB-2901-03	Gain	6301.1152		
TCGA-AB-2900-03	Diploid	4483.2928		
TCGA-AB-2899-03	Diploid	2804.4486		
TCGA-AB-2898-03	Gain	4430.3318		
TCGA-AB-2897-03	Diploid	1335.9639		
TCGA-AB-2896-03	Diploid	3186.4139		
TCGA-AB-2895-03	Diploid	4676.3926		
TCGA-AB-2890-03	Diploid	4547.2911		
TCGA-AB-2889-03	Diploid	4111.8295		
TCGA-AB-2888-03	Diploid	6741.5010		
TCGA-AB-2887-03	Diploid	2042.7710		
TCGA-AB-2886-03	Diploid	3007.9891		
TCGA-AB-2885-03	Diploid	3597.6016		
TCGA-AB-2884-03	Diploid	4254.9157		
TCGA-AB-2882-03	Diploid	3259.2593		
TCGA-AB-2881-03	Diploid	6458.8897		
TCGA-AB-2880-03	Diploid	3642.0455		
TCGA-AB-2879-03	Diploid	1786.1133		
TCGA-AB-2877-03	Diploid	1308.4906		
TCGA-AB-2875-03	Diploid	3324.1379		
TCGA-AB-2874-03	Diploid	2776.0185		
TCGA-AB-2873-03	Diploid	6030.7617		
TCGA-AB-2872-03	Diploid	959.7441		
TCGA-AB-2871-03	Diploid	2816.8582		
TCGA-AB-2870-03	Diploid	4550.6016		
TCGA-AB-2869-03	Diploid	2764.2800		
TCGA-AB-2868-03	Gain	2720.6751		
TCGA-AB-2867-03	Diploid	4791.9670		
TCGA-AB-2866-03	Diploid	4109.5679		
TCGA-AB-2865-03	Diploid	5956.7347		
TCGA-AB-2863-03	Gain	7428.0053		
TCGA-AB-2862-03	Diploid	1228.6788		
TCGA-AB-2861-03	Gain	3250.2113		
TCGA-AB-2860-03	Diploid	3082.9493		
TCGA-AB-2859-03	Diploid	6332.0783		
TCGA-AB-2858-03	Diploid	3384.8580		
TCGA-AB-2857-03	Diploid	2911.2051		
TCGA-AB-2855-03	Diploid	2634.4854		
TCGA-AB-2854-03	Diploid	3878.5358		
TCGA-AB-2853-03	Diploid	5270.0987		
TCGA-AB-2851-03	Diploid	7943.5422		
TCGA-AB-2849-03	Diploid	3517.4693		
TCGA-AB-2848-03	Diploid	5672.6404		
TCGA-AB-2846-03	Diploid	4752.1186		
TCGA-AB-2845-03	Diploid	2874.1077		
TCGA-AB-2844-03	Diploid	2866.0014		
