Sample Id	YES1, Putative copy-number alterations from GISTIC	YES1, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-3012-03	Diploid	360.3352		
TCGA-AB-3011-03	Diploid	300.8658		
TCGA-AB-3009-03	Diploid	652.8029		
TCGA-AB-3008-03	Diploid	25.8328		
TCGA-AB-3007-03	Diploid	426.4000		
TCGA-AB-3006-03	Diploid	730.4680		
TCGA-AB-3005-03	Diploid	14.6784		
TCGA-AB-3002-03	Diploid	814.8390		
TCGA-AB-3001-03	Diploid	446.6667		
TCGA-AB-3000-03	Diploid	263.2712		
TCGA-AB-2999-03	Diploid	453.9673		
TCGA-AB-2998-03	Diploid	318.6612		
TCGA-AB-2996-03	Diploid	192.1202		
TCGA-AB-2995-03	Diploid	633.5079		
TCGA-AB-2994-03	Diploid	514.5814		
TCGA-AB-2993-03	Diploid	671.4985		
TCGA-AB-2992-03	Diploid	163.4799		
TCGA-AB-2991-03	Diploid	304.1636		
TCGA-AB-2990-03	Diploid	393.2760		
TCGA-AB-2988-03	Diploid	714.7170		
TCGA-AB-2987-03	Diploid	99.0566		
TCGA-AB-2986-03	Diploid	322.9167		
TCGA-AB-2985-03	Diploid	98.8054		
TCGA-AB-2984-03	Diploid	311.6883		
TCGA-AB-2983-03	Diploid	381.2902		
TCGA-AB-2982-03	Diploid	312.9346		
TCGA-AB-2980-03	Diploid	483.2618		
TCGA-AB-2978-03	Diploid	407.1154		
TCGA-AB-2977-03	Diploid	225.7755		
TCGA-AB-2976-03	Diploid	892.4640		
TCGA-AB-2975-03	Diploid	641.0811		
TCGA-AB-2973-03	Diploid	77.8645		
TCGA-AB-2972-03	Diploid	612.6126		
TCGA-AB-2971-03	Diploid	151.2206		
TCGA-AB-2970-03	Diploid	376.3524		
TCGA-AB-2969-03	Diploid	112.2137		
TCGA-AB-2967-03	Diploid	203.0162		
TCGA-AB-2966-03	Diploid	499.1101		
TCGA-AB-2965-03	Diploid	351.2269		
TCGA-AB-2964-03	Diploid	438.3282		
TCGA-AB-2963-03	Diploid	460.2359		
TCGA-AB-2959-03	Diploid	519.6415		
TCGA-AB-2956-03	Diploid	221.3010		
TCGA-AB-2955-03	Diploid	39.4737		
TCGA-AB-2954-03	Diploid	311.3482		
TCGA-AB-2952-03	Diploid	78.8203		
TCGA-AB-2950-03	Diploid	485.2025		
TCGA-AB-2949-03	Diploid	402.3669		
TCGA-AB-2948-03	Diploid	63.2603		
TCGA-AB-2946-03	Diploid	466.6975		
TCGA-AB-2943-03	Diploid	248.2650		
TCGA-AB-2942-03	Diploid	287.9201		
TCGA-AB-2941-03	Diploid	1857.4528		
TCGA-AB-2940-03	Diploid	206.6307		
TCGA-AB-2939-03	Diploid	449.9664		
TCGA-AB-2938-03	Diploid	977.8861		
TCGA-AB-2937-03	Diploid	400.2157		
TCGA-AB-2936-03	Diploid	586.6001		
TCGA-AB-2935-03	Shallow Deletion	241.4256		
TCGA-AB-2934-03	Diploid	213.5532		
TCGA-AB-2933-03	Diploid	134.0853		
TCGA-AB-2932-03	Diploid	34.8432		
TCGA-AB-2931-03	Diploid	716.1572		
TCGA-AB-2930-03	Diploid	347.8729		
TCGA-AB-2929-03	Diploid	308.2336		
TCGA-AB-2928-03	Diploid	530.9823		
TCGA-AB-2927-03	Diploid	194.8936		
TCGA-AB-2925-03	Diploid	236.9270		
TCGA-AB-2924-03	Diploid	217.8663		
TCGA-AB-2921-03	Diploid	473.1801		
TCGA-AB-2920-03	Shallow Deletion	87.3999		
TCGA-AB-2919-03	Diploid	410.8723		
TCGA-AB-2917-03	Diploid	446.4579		
TCGA-AB-2916-03	Diploid	169.6613		
TCGA-AB-2915-03	Diploid	463.5008		
TCGA-AB-2914-03	Diploid	629.6296		
TCGA-AB-2913-03	Diploid	838.6350		
TCGA-AB-2912-03	Diploid	241.5254		
TCGA-AB-2911-03	Diploid	191.2633		
TCGA-AB-2910-03	Diploid	316.1216		
TCGA-AB-2909-03	Diploid	377.7859		
TCGA-AB-2908-03	Diploid	241.4330		
TCGA-AB-2904-03	Diploid	287.6712		
TCGA-AB-2903-03	Diploid	481.4815		
TCGA-AB-2901-03	Diploid	634.9442		
TCGA-AB-2900-03	Diploid	179.6858		
TCGA-AB-2899-03	Diploid	52.8267		
TCGA-AB-2898-03	Diploid	353.5545		
TCGA-AB-2897-03	Diploid	789.1770		
TCGA-AB-2896-03	Diploid	348.3412		
TCGA-AB-2895-03	Diploid	916.8877		
TCGA-AB-2890-03	Diploid	240.5877		
TCGA-AB-2889-03	Diploid	332.6926		
TCGA-AB-2888-03	Diploid	67.3509		
TCGA-AB-2887-03	Diploid	420.3985		
TCGA-AB-2886-03	Diploid	735.6791		
TCGA-AB-2885-03	Shallow Deletion	312.6804		
TCGA-AB-2884-03	Diploid	226.1236		
TCGA-AB-2882-03	Diploid	719.7764		
TCGA-AB-2881-03	Diploid	396.3457		
TCGA-AB-2880-03	Diploid	321.4286		
TCGA-AB-2879-03	Diploid	629.6887		
TCGA-AB-2877-03	Diploid	585.8491		
TCGA-AB-2875-03	Diploid	202.0690		
TCGA-AB-2874-03	Diploid	496.8645		
TCGA-AB-2873-03	Diploid	72.9528		
TCGA-AB-2872-03	Diploid	444.6814		
TCGA-AB-2871-03	Diploid	616.7086		
TCGA-AB-2870-03	Diploid	292.9936		
