Sample Id	BLK, Putative copy-number alterations from GISTIC	BLK, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-3012-03	Diploid	50.2793		
TCGA-AB-3011-03	Diploid	110.3896		
TCGA-AB-3009-03	Diploid	58.7703		
TCGA-AB-3008-03	Diploid	276.6825		
TCGA-AB-3007-03	Gain	180.8000		
TCGA-AB-3006-03	Diploid	48.1375		
TCGA-AB-3005-03	Diploid	24.4640		
TCGA-AB-3002-03	Diploid	1088.0610		
TCGA-AB-3001-03	Diploid	130.4762		
TCGA-AB-3000-03	Diploid	52.3673		
TCGA-AB-2999-03	Diploid	103.7403		
TCGA-AB-2998-03	Diploid	27.7423		
TCGA-AB-2996-03	Diploid	90.7005		
TCGA-AB-2995-03	Diploid	191.4734		
TCGA-AB-2994-03	Diploid	105.3622		
TCGA-AB-2993-03	Diploid	40.4185		
TCGA-AB-2992-03	Diploid	74.5698		
TCGA-AB-2991-03	Diploid	184.4926		
TCGA-AB-2990-03	Diploid	237.6857		
TCGA-AB-2988-03	Diploid	110.9434		
TCGA-AB-2987-03	Diploid	351.8868		
TCGA-AB-2986-03	Diploid	25.0000		
TCGA-AB-2985-03	Diploid	33.2051		
TCGA-AB-2984-03	Diploid	28.5714		
TCGA-AB-2983-03	Diploid	126.8012		
TCGA-AB-2982-03	Diploid	392.2114		
TCGA-AB-2980-03	Diploid	100.4292		
TCGA-AB-2978-03	Diploid	13.6922		
TCGA-AB-2977-03	Diploid	187.5085		
TCGA-AB-2976-03	Diploid	36.4098		
TCGA-AB-2975-03	Diploid	91.8919		
TCGA-AB-2973-03	Diploid	250.8968		
TCGA-AB-2972-03	Diploid	53.1532		
TCGA-AB-2971-03	Diploid	59.1238		
TCGA-AB-2970-03	Diploid	115.9196		
TCGA-AB-2969-03	Diploid	32.8244		
TCGA-AB-2967-03	Diploid	25.5220		
TCGA-AB-2966-03	Diploid	46.4288		
TCGA-AB-2965-03	Diploid	9.6447		
TCGA-AB-2964-03	Diploid	65.2396		
TCGA-AB-2963-03	Diploid	9.6764		
TCGA-AB-2959-03	Diploid	107.6245		
TCGA-AB-2956-03	Diploid	399.2347		
TCGA-AB-2955-03	Diploid	17.5439		
TCGA-AB-2954-03	Diploid	52.3763		
TCGA-AB-2952-03	Gain	274.8777		
TCGA-AB-2950-03	Diploid	23.3645		
TCGA-AB-2949-03	Gain	84.8126		
TCGA-AB-2948-03	Diploid	122.2628		
TCGA-AB-2946-03	Diploid	36.1135		
TCGA-AB-2943-03	Diploid	372.0611		
TCGA-AB-2942-03	Diploid	108.9918		
TCGA-AB-2941-03	Diploid	120.9810		
TCGA-AB-2940-03	Diploid	47.0316		
TCGA-AB-2939-03	Diploid	57.7569		
TCGA-AB-2938-03	Diploid	57.1130		
TCGA-AB-2937-03	Diploid	29.1262		
TCGA-AB-2936-03	Diploid	424.8040		
TCGA-AB-2935-03	Gain	72.8109		
TCGA-AB-2934-03	Diploid	159.1042		
TCGA-AB-2933-03	Diploid	268.1706		
TCGA-AB-2932-03	Diploid	31.9396		
TCGA-AB-2931-03	Diploid	23.6653		
TCGA-AB-2930-03	Diploid	48.4653		
TCGA-AB-2929-03	Shallow Deletion	28.8529		
TCGA-AB-2928-03	Diploid	57.8552		
TCGA-AB-2927-03	Diploid	644.2553		
TCGA-AB-2925-03	Diploid	14.8483		
TCGA-AB-2924-03	Diploid	31.4910		
TCGA-AB-2921-03	Diploid	66.5709		
TCGA-AB-2920-03	Gain	321.9228		
TCGA-AB-2919-03	Diploid	51.8331		
TCGA-AB-2917-03	Diploid	12.2188		
TCGA-AB-2916-03	Diploid	35.3461		
TCGA-AB-2915-03	Diploid	102.6587		
TCGA-AB-2914-03	Diploid	83.5979		
TCGA-AB-2913-03	Gain	57.8369		
TCGA-AB-2912-03	Gain	28.6017		
TCGA-AB-2911-03	Diploid	128.6895		
TCGA-AB-2910-03	Diploid	88.9271		
TCGA-AB-2909-03	Diploid	3.3314		
TCGA-AB-2908-03	Diploid	83.3333		
TCGA-AB-2904-03	Gain	156.5558		
TCGA-AB-2903-03	Diploid	27.2904		
TCGA-AB-2901-03	Gain	14.8699		
TCGA-AB-2900-03	Diploid	100.0221		
TCGA-AB-2899-03	Diploid	508.8044		
TCGA-AB-2898-03	Gain	141.2322		
TCGA-AB-2897-03	Diploid	68.7711		
TCGA-AB-2896-03	Diploid	60.8215		
TCGA-AB-2895-03	Diploid	15.9151		
TCGA-AB-2890-03	Diploid	124.8852		
TCGA-AB-2889-03	Diploid	23.0648		
TCGA-AB-2888-03	Diploid	137.2675		
TCGA-AB-2887-03	Diploid	103.0890		
TCGA-AB-2886-03	Diploid	46.2349		
TCGA-AB-2885-03	Diploid	79.0584		
TCGA-AB-2884-03	Diploid	281.6011		
TCGA-AB-2882-03	Diploid	62.1943		
TCGA-AB-2881-03	Diploid	200.9838		
TCGA-AB-2880-03	Diploid	20.2922		
TCGA-AB-2879-03	Diploid	15.9617		
TCGA-AB-2877-03	Diploid	23.5849		
TCGA-AB-2875-03	Diploid	63.4483		
TCGA-AB-2874-03	Diploid	8.0283		
TCGA-AB-2873-03	Diploid	217.9576		
TCGA-AB-2872-03	Diploid	179.1522		
TCGA-AB-2871-03	Diploid	541.2649		
TCGA-AB-2870-03	Diploid	62.9866		
TCGA-AB-2869-03	Diploid	74.8190		
TCGA-AB-2868-03	Gain	273.4177		
TCGA-AB-2867-03	Diploid	157.5695		
TCGA-AB-2866-03	Diploid	44.7531		
TCGA-AB-2865-03	Diploid	20.4082		
TCGA-AB-2863-03	Gain	33.6856		
TCGA-AB-2862-03	Diploid	179.0990		
TCGA-AB-2861-03	Gain	21.9780		
TCGA-AB-2860-03	Diploid	76.3660		
TCGA-AB-2859-03	Diploid	96.3855		
TCGA-AB-2858-03	Diploid	18.1388		
TCGA-AB-2857-03	Diploid	669.4856		
TCGA-AB-2855-03	Diploid	50.9751		
TCGA-AB-2854-03	Diploid	104.8253		
TCGA-AB-2853-03	Diploid	11.9887		
TCGA-AB-2851-03	Diploid	197.9892		
TCGA-AB-2849-03	Diploid	218.1303		
TCGA-AB-2848-03	Diploid	170.8483		
TCGA-AB-2846-03	Diploid	119.3503		
TCGA-AB-2845-03	Diploid	85.6587		
TCGA-AB-2844-03	Diploid	17.1062		
TCGA-AB-2842-03	Diploid	1.4538		
TCGA-AB-2841-03	Diploid	77.6978		
TCGA-AB-2840-03	Diploid	512.2951		
TCGA-AB-2839-03	Diploid	27.7056		
TCGA-AB-2838-03	Gain	80.5723		
TCGA-AB-2837-03	Diploid	128.3420		
TCGA-AB-2836-03	Diploid	65.3266		
TCGA-AB-2835-03	Diploid	54.4394		
TCGA-AB-2834-03	Diploid	7.2654		
TCGA-AB-2832-03	Diploid	109.2708		
TCGA-AB-2830-03	Diploid	518.8383		
TCGA-AB-2828-03	Diploid	40.7301		
TCGA-AB-2826-03	Diploid	21.3800		
TCGA-AB-2825-03	Diploid	55.0678		
TCGA-AB-2824-03	Diploid	28.4858		
TCGA-AB-2823-03	Diploid	40.1761		
TCGA-AB-2822-03	Gain	721.1444		
TCGA-AB-2821-03	Gain	258.6738		
TCGA-AB-2820-03	Gain	414.0127		
TCGA-AB-2819-03	Diploid	29.7372		
TCGA-AB-2818-03	Diploid	76.4573		
TCGA-AB-2817-03	Diploid	64.2292		
TCGA-AB-2816-03	Diploid	50.9615		
TCGA-AB-2814-03	Diploid	21.4499		
